sample_id;original_label;predicted_label_before;predicted_label_after;attack_prob_before;attack_prob_after;distortion;mutation_count;feature_change_ratio;original_features;mutated_features;attack_class_prob_vector_before;attack_class_prob_vector_after
0;Bot;1;0;0.99999994;1.388451e-07;0.31802806475208406;7;0.09210526315789473;[9.843333497388892e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.07442922376712328, 0.14158398158030766, 0.059574468085106386, 0.0, 0.0220976624232079, 0.040445940156158475, 9.394362968292683e-05, 0.00019751694591004334, 1.6412761414304024e-05, 5.250097462459743e-05, 9.211228167840699e-05, 8.33798182768545e-09, 4.15e-06, 2.076157475093677e-06, 3.2854952441095292e-06, 3.7181715346257813e-06, 4.3357505503964337e-07, 9.49e-05, 3.1775180386510416e-05, 7.571559328915662e-05, 9.249624427580086e-05, 8.370700839438992e-09, 0.0, 0.0, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 8.464730923470649e-05, 0.00016930500295, 0.0, 0.16565040650406507, 0.039821156773211575, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.1250152587890625, 0.00335693359375, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[9.843333497388892e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.0, 0.14158398158030766, 0.059574468085106386, 0.0, 0.17578967381374672, 0.040445940156158475, 9.394362968292683e-05, 0.00019751694591004334, 1.6412761414304024e-05, 5.250097462459743e-05, 9.211228167840699e-05, 8.33798182768545e-09, 4.15e-06, 2.076157475093677e-06, 3.2854952441095292e-06, 3.7181715346257813e-06, 4.3357505503964337e-07, 9.49e-05, 3.1775180386510416e-05, 7.571559328915662e-05, 9.249624427580086e-05, 8.370700839438992e-09, 0.16988194009352608, 0.1315820163163733, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 8.464730923470649e-05, 0.00016930500295, 0.0, 0.16565040650406507, 0.1649112920667653, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.02427601759986852, 0.0, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.3569798795742827e-07, 0.9999996423721313, 6.868886969629839e-14, 3.890722593301358e-18, 4.3887021634555524e-16, 1.810207799629593e-13, 4.363538514448786e-19, 8.125416809388105e-15, 2.702390418107825e-07, 3.193142819325791e-17];[0.9999998807907104, 1.600249446842561e-11, 1.442582164834505e-10, 1.1382323902853209e-11, 5.3143813257690265e-17, 1.4475770582222935e-09, 4.381443355795379e-16, 1.0523334048780086e-15, 1.3722583958042378e-07, 3.152613939219964e-14]
1;DoS attacks-Hulk;4;0;0.99999416;2.8204722e-06;0.3614582403804275;6;0.07894736842105263;[9.19083348651389e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.734243570563834e-05, 2.6867816091954023e-05, 0.18038617886178865, 0.0, 0.08105022828767124, 0.1541788756394221, 0.4973404255319149, 0.0, 0.16016522764108052, 0.35167278735412705, 0.0002852530792682927, 0.00021153871572131885, 1.5324654782162028e-05, 3.485638477568692e-05, 5.961579566316303e-05, 3.33519273107418e-08, 3.1941666666666666e-05, 1.5979742172759163e-05, 2.7559801477472045e-05, 2.9753708984482987e-05, 2.201227202508959e-06, 9.188333333333334e-05, 3.076511581576121e-05, 4.2875347771084336e-05, 5.986725240366767e-05, 3.348280335775597e-07, 0.0, 0.0, 0.0, 0.0, 6.97668178281053e-05, 0.0002804285608241301, 9.065663916591095e-05, 0.00018132366275, 0.0, 0.4751016260162602, 0.11289954337899545, 0.3578910387234042, 0.12808599558623812, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.12622309198630136, 0.08105022828767124, 0.16016522764108052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.734243570563834e-05, 0.0001649620587264929, 2.689158500756459e-05, 0.41021728515625, 0.003631591796875, 5.366707095860122e-06, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[9.19083348651389e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.734243570563834e-05, 2.6867816091954023e-05, 0.18038617886178865, 0.0, 0.13734239321654004, 0.1541788756394221, 0.4973404255319149, 0.0, 0.27142653871191874, 0.35167278735412705, 0.0002852530792682927, 0.00021153871572131885, 1.5324654782162028e-05, 3.485638477568692e-05, 5.961579566316303e-05, 3.33519273107418e-08, 3.1941666666666666e-05, 1.5979742172759163e-05, 2.7559801477472045e-05, 2.9753708984482987e-05, 2.201227202508959e-06, 9.188333333333334e-05, 3.076511581576121e-05, 4.2875347771084336e-05, 5.986725240366767e-05, 3.348280335775597e-07, 0.04341113744164942, 0.0, 0.0, 0.0, 6.97668178281053e-05, 0.0002804285608241301, 9.065663916591095e-05, 0.00018132366275, 0.0, 0.4751016260162602, 0.2938630611918697, 0.3578910387234042, 0.12808599558623812, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.12622309198630136, 0.08105022828767124, 0.16016522764108052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.734243570563834e-05, 0.0001649620587264929, 2.689158500756459e-05, 0.15486969180893445, 0.12720123735710087, 5.366707095860122e-06, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[5.686391887138598e-06, 1.3773697460361944e-10, 6.552757523638003e-16, 1.1115809002149035e-06, 0.9999884366989136, 2.493568906913879e-08, 9.990206578658345e-11, 7.125374850147637e-07, 3.897599526681006e-06, 4.1700159991719943e-10];[0.9999971389770508, 6.837189925334997e-09, 1.3807941239367237e-24, 5.617084020137497e-10, 2.435688486457366e-07, 2.25560384592427e-07, 1.7160287970864146e-16, 8.924343902760867e-11, 2.343854930586531e-06, 2.7659154467111167e-14]
2;Infilteration;8;0;0.9766377;0.19762297;0.4493141370389447;6;0.07894736842105263;[2.4666667077777783e-06, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00224466336515609, 2.4730454183395875e-06, 0.0, 2.467665433687073e-06, 2.4763806028225785e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6100034883408914e-05, 4.123949423884266e-05, 0.001122329268823048, 0.0016835016834999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.0156402587890625, 1.52587890625e-05, 0.0, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[2.4666667077777783e-06, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.07067906964916774, 0.0, 0.0, 0.0, 0.010679373505739288, 0.0, 0.0, 0.00224466336515609, 2.4730454183395875e-06, 0.0, 2.467665433687073e-06, 2.4763806028225785e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16771852106408314, 0.0, 0.0, 0.0, 1.6100034883408914e-05, 4.123949423884266e-05, 0.001122329268823048, 0.0016835016834999999, 0.0, 0.0, 0.13382213316549169, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.2919817449126157, 0.27272596861220966, 0.0, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.023362254723906517, 5.015762667426316e-07, 1.8438131021980553e-09, 8.875228552085446e-09, 8.525087302757584e-09, 3.2387501391895057e-07, 6.108584926778349e-08, 1.2181713771042268e-07, 0.9766367077827454, 3.977356666240439e-09];[0.8023770451545715, 1.580797537314993e-08, 1.1568184632437806e-08, 1.143003114378871e-08, 2.0256418764574846e-08, 3.4752863484754926e-06, 7.20714742783457e-05, 5.311939730745507e-06, 0.19754183292388916, 2.2118668141501985e-07]
3;Bot;1;0;0.9999857;0.28382707;0.3918486605437492;7;0.09210526315789473;[5.200000086666668e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010666611139413156, 5.207903466941694e-06, 0.0, 5.2021055088538285e-06, 5.211238642303406e-06, 5.208333333333333e-06, 5.211238642303406e-06, 0.0, 5.210442172962137e-06, 5.211238642303406e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0010666614795339835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0313262939453125, 0.0, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[5.200000086666668e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14855815675038841, 0.0, 0.0, 0.0, 0.05560997088360462, 0.0, 0.0, 0.0010666611139413156, 5.207903466941694e-06, 0.0, 5.2021055088538285e-06, 5.211238642303406e-06, 5.208333333333333e-06, 5.211238642303406e-06, 0.0, 5.210442172962137e-06, 5.211238642303406e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.269138049993767, 0.03253247982858731, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0010666614795339835, 0.0, 0.0, 0.0, 0.06466444163637693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.1889529964476646, 0.16081684743529764, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.420685657649301e-05, 0.9996578693389893, 1.9606404748628847e-06, 1.0318873170213697e-13, 5.5272753808253104e-15, 5.3274437306072286e-08, 5.3082552242678105e-11, 6.721917600316374e-08, 0.00032576388912275434, 1.4688534676760012e-12];[0.7161729335784912, 3.0950320084599525e-09, 3.3933327259205726e-09, 5.690270303559952e-12, 1.129036100722125e-12, 1.76903981241594e-07, 2.8208057756273774e-06, 1.6921603673836216e-07, 0.2838239073753357, 1.5823501398060102e-09]
4;Bot;0;0;0.45396343;0.30126846;0.4986520491814565;7;0.09210526315789473;[7.658333460972224e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007246321263734278, 7.667608114312491e-06, 0.0, 7.661434234994662e-06, 7.670943281470614e-06, 7.666666666666667e-06, 7.670943281470614e-06, 0.0, 7.669770878600266e-06, 7.670943281470614e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0007246324920912727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0039215087890625, 0.0, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[7.658333460972224e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.102843766830352, 0.0, 0.0, 0.0, 0.17879586525857002, 0.0, 0.0, 0.0007246321263734278, 7.667608114312491e-06, 0.0, 7.661434234994662e-06, 7.670943281470614e-06, 7.666666666666667e-06, 7.670943281470614e-06, 0.0, 7.669770878600266e-06, 7.670943281470614e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2859718471870051, 0.19986084796386686, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0007246324920912727, 0.0, 0.0, 0.0, 0.07521735895087703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.2028792650139645, 0.1978458201769067, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.5460365414619446, 0.07920409739017487, 0.01151727233082056, 1.284487183284e-07, 3.5649216556521424e-07, 9.545640932628885e-05, 3.752105840248987e-05, 0.00018661859212443233, 0.3629206418991089, 1.3310376516528777e-06];[0.6987316012382507, 4.49540715763419e-09, 5.334909047860492e-08, 5.273387629345372e-12, 1.1010647688741715e-13, 1.1398882406865596e-06, 2.283146750414744e-05, 1.1806447446360835e-06, 0.30124321579933167, 1.6951677395127263e-08]
5;Infilteration;8;0;0.96812266;1.2817457e-06;0.37650967289547577;7;0.09210526315789473;[1.666666694444445e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222179099353, 2.167875282428499e-08, 0.0, 1.6673415092480218e-08, 2.501394548305635e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6100034883408914e-05, 4.123949423884266e-05, 0.11111110648429197, 0.16666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.0156402587890625, 1.52587890625e-05, 0.0, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.666666694444445e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.043536417242069844, 0.0, 0.0, 0.0, 0.08995242467376671, 0.0, 0.0, 0.2222222179099353, 2.167875282428499e-08, 0.0, 1.6673415092480218e-08, 2.501394548305635e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1102995289350337, 0.2702906649756843, 0.0, 0.0, 1.6100034883408914e-05, 4.123949423884266e-05, 0.11111110648429197, 0.16666666665, 0.0, 0.0, 0.1736214373145369, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.07125682760556, 0.11539307110373183, 0.0, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.031877320259809494, 4.536353117146064e-06, 2.3030391815836992e-08, 7.222052733624196e-09, 5.8338227582055424e-09, 6.892389023960277e-07, 3.302403115412744e-07, 3.288148207047925e-07, 0.9681167602539062, 3.6107554723940893e-09];[0.9999986886978149, 1.4843496847242663e-14, 3.118696167149325e-16, 3.2568809845215374e-14, 3.166704069336823e-19, 1.798216930177718e-13, 1.414527651121818e-17, 1.117890653895375e-18, 1.2817454262403771e-06, 1.5055575721388745e-22]
6;SSH-Bruteforce;9;0;0.9999998;0.022415988;0.3241703047160332;7;0.09210526315789473;[5.000000083333335e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09523809020883642, 5.5030680246261894e-08, 0.0, 5.002024527744066e-08, 5.836587279379815e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1466713177878553e-05, 6.598319078214825e-05, 0.0476190426736462, 0.0714285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.003692626953125, 0.0035247802734375, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[5.000000083333335e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.15068864233112422, 0.0, 0.0, 0.0, 0.09754584382138135, 0.0, 0.0, 0.09523809020883642, 5.5030680246261894e-08, 0.0, 5.002024527744066e-08, 5.836587279379815e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03469612174965975, 0.08818832396804509, 0.0, 0.0, 2.1466713177878553e-05, 6.598319078214825e-05, 0.0476190426736462, 0.0714285714285715, 0.0, 0.0, 0.1733743905599843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.17027299506641513, 0.08146981342948743, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[2.51060015443727e-07, 2.465834670443436e-15, 5.721424667370911e-09, 3.475661078389258e-11, 4.6037385709185585e-11, 7.739204416212786e-11, 2.8193253287511766e-10, 2.021494083237485e-10, 3.878413679103687e-08, 0.9999997615814209];[0.9775840640068054, 3.35056732359007e-10, 1.4135153048044913e-09, 3.280626603707759e-10, 6.84904244430129e-10, 7.235353223222774e-07, 0.00013521740038413554, 4.571791123453295e-07, 0.022279424592852592, 1.6277488157356856e-07]
7;Infilteration;8;0;0.5634891;0.020220747;0.28292084885224605;7;0.09210526315789473;[0.16768298612804977, 3.756694967102085e-05, 0.0002886836027713626, 0.0001752336915977712, 2.2988505747126437e-05, 0.37804878048780494, 0.0, 0.1125, 0.22162475161209985, 0.3404255319148936, 0.0, 0.07830843827586306, 0.18005965459718867, 2.5624232512195124e-07, 2.429260991318853e-07, 0.011984034455689449, 0.04267398322596189, 0.08336706712569356, 1.2506972741528174e-07, 0.1675, 0.023954749022202786, 0.057288837010046834, 0.0833670747673942, 2.376324820890353e-06, 0.1675, 0.02805696529783665, 0.06218334942168675, 0.08370700839438992, 8.705528873016552e-07, 0.0, 0.0, 0.0, 0.0, 0.00011538358333109723, 0.0003381638527585098, 1.273325304886771e-07, 1.7393932649999997e-07, 0.0, 0.37804878048780494, 0.09250761035007611, 0.27182405478723404, 0.07388831673834315, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.09652968034246574, 0.1125, 0.07830843827586306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.756694967102085e-05, 0.0001752336915977712, 0.0002886836027713626, 2.300884278722104e-05, 0.1250152587890625, 1.52587890625e-05, 2.683353547930061e-05, 0.4545454545454546, 0.000674311403508772, 0.001249066189064099, 0.0012508070175438599, 9.781578947368422e-05, 0.08318795227054897, 0.0005572854617407313, 0.0833670747673942, 0.08295504133706383];[0.16768298612804977, 3.756694967102085e-05, 0.0002886836027713626, 0.0001752336915977712, 2.2988505747126437e-05, 0.37804878048780494, 0.0, 0.26748450541358487, 0.22162475161209985, 0.3404255319148936, 0.0, 0.2174487519668494, 0.18005965459718867, 2.5624232512195124e-07, 2.429260991318853e-07, 0.011984034455689449, 0.04267398322596189, 0.08336706712569356, 1.2506972741528174e-07, 0.1675, 0.023954749022202786, 0.057288837010046834, 0.0833670747673942, 2.376324820890353e-06, 0.1675, 0.02805696529783665, 0.06218334942168675, 0.08370700839438992, 8.705528873016552e-07, 0.09282885201625617, 0.007941088989589873, 0.0, 0.0, 0.00011538358333109723, 0.0003381638527585098, 1.273325304886771e-07, 1.7393932649999997e-07, 0.0, 0.37804878048780494, 0.20366025799749993, 0.27182405478723404, 0.07388831673834315, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.09652968034246574, 0.1125, 0.07830843827586306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.756694967102085e-05, 0.0001752336915977712, 0.0002886836027713626, 2.300884278722104e-05, 0.0, 0.0, 2.683353547930061e-05, 0.4545454545454546, 0.000674311403508772, 0.001249066189064099, 0.0012508070175438599, 9.781578947368422e-05, 0.08318795227054897, 0.0005572854617407313, 0.0833670747673942, 0.08295504133706383];[0.43651100993156433, 4.833364073419943e-07, 6.86059635768288e-08, 8.563499243052775e-09, 5.324880536505816e-09, 3.059370499158831e-07, 4.276991205642844e-08, 1.6506221811596333e-07, 0.5634879469871521, 3.162395145750452e-08];[0.9797791838645935, 2.185007383359583e-12, 2.2599365119614317e-17, 6.343415473121889e-19, 1.5463547326302618e-13, 1.361876242203866e-13, 1.2799633824871575e-19, 1.6050938713663642e-15, 0.020220747217535973, 1.4279800894237678e-17]
8;DDoS attacks-LOIC-HTTP;2;0;1.0;0.054209873;0.29062195876513325;7;0.09210526315789473;[0.21847094530784908, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.987060989199689e-08, 0.218455121278756, 0.0, 0.21842172937478335, 0.2184551238853588, 0.21833333333333335, 0.2184551238853588, 0.0, 0.2184217358905728, 0.2184551238853588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 2.0236592932563082e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.031280517578125, 0.0, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.2184217358905728, 0.0, 0.2184217358905728, 0.2184217358905728];[0.21847094530784908, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045803806932294515, 0.0, 0.0, 0.0, 0.017232482633595694, 0.0, 0.0, 1.987060989199689e-08, 0.218455121278756, 0.0, 0.21842172937478335, 0.2184551238853588, 0.21833333333333335, 0.2184551238853588, 0.0, 0.2184217358905728, 0.2184551238853588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09439156550628397, 0.1411178326420257, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 2.0236592932563082e-08, 0.0, 0.0, 0.0, 0.018426786534327635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.16182510252060936, 0.18936929603601965, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.2184217358905728, 0.0, 0.2184217358905728, 0.2184217358905728];[5.985056894530771e-09, 6.155301528892876e-12, 1.0, 1.73887102633552e-11, 6.465357487766752e-16, 1.0676391547096223e-13, 1.4781593646578245e-13, 8.931627003749484e-14, 1.0349138213072706e-09, 3.5283538243890966e-12];[0.9457901120185852, 2.1400357752554555e-07, 1.3583957297669258e-05, 4.0245317495246624e-11, 8.922517672621533e-14, 1.0790660098791705e-07, 9.394805601914413e-06, 3.8537288560291927e-07, 0.05418618768453598, 2.419813793785863e-10]
9;Bot;1;0;0.99999636;0.18581112;0.3587392912628249;7;0.09210526315789473;[4.425000073750002e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012531272803111499, 4.432471154380731e-06, 0.0, 4.426791707053499e-06, 4.435806332328659e-06, 4.433333333333334e-06, 4.435806332328659e-06, 0.0, 4.435128377625371e-06, 4.435806332328659e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0012531276458355744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0313262939453125, 0.0, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[4.425000073750002e-06, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05379031141075949, 0.0, 0.0, 0.0, 0.011879099717108405, 0.0, 0.0, 0.0012531272803111499, 4.432471154380731e-06, 0.0, 4.426791707053499e-06, 4.435806332328659e-06, 4.433333333333334e-06, 4.435806332328659e-06, 0.0, 4.435128377625371e-06, 4.435806332328659e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2294589305014717, 0.04014670822036673, 0.0, 0.0, 2.6833391472348192e-05, 0.0, 0.0012531276458355744, 0.0, 0.0, 0.0, 0.09177337668998521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.216900628867497, 0.16892608758061886, 0.0, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[3.5340074191481108e-06, 0.999881386756897, 3.592206212488236e-07, 3.628135186489918e-15, 9.680536398610956e-17, 6.3680687389933155e-09, 1.88171613707544e-12, 6.548781517068392e-09, 0.00011461005487944931, 7.829701513875631e-14];[0.8141888380050659, 9.476109896766616e-10, 2.9401019396857464e-09, 3.008421289862895e-11, 3.3261973036990966e-11, 3.301373681097175e-07, 1.3151372513675597e-05, 3.3336539217998507e-07, 0.1857972890138626, 8.212304614119148e-09]
