sample_id;original_label;predicted_label_before;predicted_label_after;attack_prob_before;attack_prob_after;distortion;mutation_count;feature_change_ratio;original_features;mutated_features;attack_class_prob_vector_before;attack_class_prob_vector_after
0;4;4;0;1.0;0.33;0.27035367897251866;6;0.07894736842105263;[9.401666823361113e-05, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.908038217385565e-05, 9.407411408279916e-05, 0.0, 9.405473453668094e-05, 9.407744896177493e-05, 9.402500000000001e-05, 9.407744896177493e-05, 0.0, 9.406307046005088e-05, 9.407744896177493e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2933426355757106e-05, 0.0, 5.9080748135281065e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.003448486328125, 0.0, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[9.401666823361113e-05, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04643638608140435, 0.0, 0.0, 0.0, 0.04816741982992355, 0.0, 0.0, 5.908038217385565e-05, 9.407411408279916e-05, 0.0, 9.405473453668094e-05, 9.407744896177493e-05, 9.402500000000001e-05, 9.407744896177493e-05, 0.0, 9.406307046005088e-05, 9.407744896177493e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21290241607364385, 0.15259338833804098, 0.0, 0.0, 4.2933426355757106e-05, 0.0, 5.9080748135281065e-05, 0.0, 0.0, 0.0, 0.0015468263636816415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0031325079684206935, 0.0, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.67, 0.0, 0.01, 0.0, 0.28, 0.0, 0.0, 0.0, 0.04, 0.0]
1;4;4;0;1.0;0.39;0.11626100915639434;4;0.05263157894736842;[7.72833346213889e-05, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.187224947829456e-05, 7.733144651696675e-05, 0.0, 7.73146257838308e-05, 7.733478145178254e-05, 7.729166666666667e-05, 7.733478145178254e-05, 0.0, 7.732296184675811e-05, 7.733478145178254e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2933426355757106e-05, 0.0, 7.187261543503836e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.003448486328125, 0.0, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[7.72833346213889e-05, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031871905234255385, 0.0, 0.0, 0.0, 0.10943276363229487, 0.0, 0.0, 7.187224947829456e-05, 7.733144651696675e-05, 0.0, 7.73146257838308e-05, 7.733478145178254e-05, 7.729166666666667e-05, 7.733478145178254e-05, 0.0, 7.732296184675811e-05, 7.733478145178254e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02289822429199653, 0.0, 0.0, 0.0, 4.2933426355757106e-05, 0.0, 7.187261543503836e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366707095860122e-06, 0.0, 0.0, 0.0, 0.0024761310054407593, 0.0, 0.0, 0.7272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.61, 0.0, 0.01, 0.0, 0.35, 0.0, 0.0, 0.0, 0.03, 0.0]
2;8;8;0;0.91;0.43;0.21361886293820503;7;0.09210526315789473;[1.7816666963611117e-05, 0.0, 4.1240514681623226e-05, 4.400846136017085e-06, 2.0114942528735633e-06, 0.01676829268292683, 0.022602739726027398, 0.022602739726027398, 0.0, 0.03723404255319149, 0.07179487179487179, 0.04796391843797064, 0.0, 0.00011744717726829268, 0.00031166656401122834, 1.783160799615995e-05, 0.0, 1.7823880733861355e-05, 1.7834943129419176e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.00015583086860433934, 0.0002337540907, 0.04187817258883248, 0.03556910569105692, 0.031740233381735164, 0.022725489319148938, 0.0005164478647578089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.04657534246575343, 0.022602739726027398, 0.04796391843797064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.400846136017085e-06, 4.1240514681623226e-05, 2.013273743881841e-06, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.7816666963611117e-05, 0.0, 4.1240514681623226e-05, 4.400846136017085e-06, 2.0114942528735633e-06, 0.01676829268292683, 0.022602739726027398, 0.015061286924844099, 0.0, 0.03723404255319149, 0.07179487179487179, 0.10964761577588285, 0.0, 0.00011744717726829268, 0.00031166656401122834, 1.783160799615995e-05, 0.0, 1.7823880733861355e-05, 1.7834943129419176e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019347456311922917, 0.03233623505645302, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.00015583086860433934, 0.0002337540907, 0.04187817258883248, 0.03556910569105692, 0.0853306931801196, 0.022725489319148938, 0.0005164478647578089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.04657534246575343, 0.022602739726027398, 0.04796391843797064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.400846136017085e-06, 4.1240514681623226e-05, 2.013273743881841e-06, 0.1635135231862262, 0.10364700075661264, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.91, 0.0];[0.57, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.39, 0.0]
3;8;0;0;0.05383333333333334;0.12766666666666668;0.13338291836492377;4;0.05263157894736842;[2.291666704861112e-06, 0.0, 4.1240514681623226e-05, 6.934666638572376e-06, 1.954022988505747e-06, 0.026422764227642278, 0.03561643835616438, 0.03561643835616438, 0.0, 0.03617021276595745, 0.06974358974358974, 0.046593520768314335, 0.0, 0.0010604453870731707, 0.002415453392105453, 2.297947799374209e-06, 0.0, 2.2925945752160304e-06, 2.3012829844411843e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.0012077242822664763, 0.001811594203, 0.06598984771573603, 0.034552845528455285, 0.04014205986575343, 0.009827238624468085, 9.65746189791761e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0589041095890411, 0.03561643835616438, 0.046593520768314335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.934666638572376e-06, 4.1240514681623226e-05, 1.9557516369137883e-06, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[2.291666704861112e-06, 0.0, 4.1240514681623226e-05, 6.934666638572376e-06, 1.954022988505747e-06, 0.026422764227642278, 0.03561643835616438, 0.03868081835840494, 0.0, 0.03617021276595745, 0.06974358974358974, 0.0446100353473523, 0.0, 0.0010604453870731707, 0.002415453392105453, 2.297947799374209e-06, 0.0, 2.2925945752160304e-06, 2.3012829844411843e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1332931858186423, 0.0, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.0012077242822664763, 0.001811594203, 0.06598984771573603, 0.034552845528455285, 0.043398574359428094, 0.009827238624468085, 9.65746189791761e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0589041095890411, 0.03561643835616438, 0.046593520768314335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.934666638572376e-06, 4.1240514681623226e-05, 1.9557516369137883e-06, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.9461666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05383333333333334, 0.0];[0.8723333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12766666666666668, 0.0]
4;0;8;0;0.6922919996669996;0.5015131951381953;0.22255764078674753;6;0.07894736842105263;[3.608333393472223e-06, 0.0, 4.1240514681623226e-05, 5.601076900385381e-06, 1.6666666666666667e-06, 0.021341463414634148, 0.028767123287671233, 0.028767123287671233, 0.0, 0.030851063829787233, 0.059487179487179485, 0.03974153242003281, 0.0, 0.0005619871866921434, 0.0015360927601759159, 3.6153489325422967e-06, 0.0, 3.609794367521968e-06, 3.6186841132154852e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.0007680439664626235, 0.001152073732718894, 0.053299492385786795, 0.02947154471544716, 0.03314053779807205, 0.009827238624504268, 9.657461898294854e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.04863013698630137, 0.028767123287671233, 0.03974153242003281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.601076900385381e-06, 4.1240514681623226e-05, 1.6681411020735254e-06, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[3.608333393472223e-06, 0.0, 4.1240514681623226e-05, 5.601076900385381e-06, 1.6666666666666667e-06, 0.021341463414634148, 0.028767123287671233, 0.18062084057277938, 0.0, 0.030851063829787233, 0.059487179487179485, 0.13508270503102518, 0.0, 0.0005619871866921434, 0.0015360927601759159, 3.6153489325422967e-06, 0.0, 3.609794367521968e-06, 3.6186841132154852e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02541465905507132, 0.11657211297376813, 0.0, 0.0, 5.366678294469638e-06, 1.6495797695537063e-05, 0.0007680439664626235, 0.001152073732718894, 0.053299492385786795, 0.02947154471544716, 0.027363301334821222, 0.009827238624504268, 9.657461898294854e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.04863013698630137, 0.028767123287671233, 0.03974153242003281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.601076900385381e-06, 4.1240514681623226e-05, 1.6681411020735254e-06, 0.05580388826248174, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.30770800033300033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6922919996669996, 0.0];[0.49848680486180486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.49151319513819525, 0.0]
5;8;8;8;0.83;0.62;0.31976730475027193;7;0.09210526315789473;[0.9709900578498343, 5.903377805446134e-05, 0.0005361266908611019, 7.908187147448883e-05, 0.00021879310344827586, 0.09806910569105692, 0.0, 0.03384703196575342, 0.05250961230990882, 0.7765957446808511, 0.0, 0.40131568680385143, 0.5368209372337952, 1.717926389512195e-07, 6.5960559148195e-08, 0.04048048375863442, 0.19340311599803497, 0.48686371236371495, 0.0, 0.975, 0.08838260737346576, 0.27713251377767206, 0.4868637166415821, 2.918293639689907e-07, 0.975, 0.08127075288845681, 0.272289156626506, 0.4888489290232371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016905036627579362, 0.0005608571216482602, 2.9136550978777643e-08, 5.57849865e-08, 0.0, 0.7418699186991871, 0.22100573706544901, 0.6041573146808511, 0.3650060608872793, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.22484931506849312, 0.03384703196575342, 0.40131568680385143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.903377805446134e-05, 7.908187147448883e-05, 0.0005361266908611019, 0.00021898666122737625, 0.1250152587890625, 1.52587890625e-05, 3.2200242575160733e-05, 0.4545454545454546, 0.000824561403508772, 0.0006067199724637918, 0.0011045877192982457, 0.0005445350877192983, 0.4851963751462342, 0.003841615355194159, 0.4868637166415821, 0.48352903365088634];[0.9709900578498343, 5.903377805446134e-05, 0.0005361266908611019, 7.908187147448883e-05, 0.00021879310344827586, 0.09806910569105692, 0.0, 0.1652738695067334, 0.05250961230990882, 0.7765957446808511, 0.0, 0.16989529525065855, 0.5368209372337952, 1.717926389512195e-07, 6.5960559148195e-08, 0.04048048375863442, 0.19340311599803497, 0.48686371236371495, 0.0, 0.975, 0.08838260737346576, 0.27713251377767206, 0.4868637166415821, 2.918293639689907e-07, 0.975, 0.08127075288845681, 0.272289156626506, 0.4888489290232371, 0.0, 0.034224389146559515, 0.037423911627733085, 0.0, 0.0, 0.00016905036627579362, 0.0005608571216482602, 2.9136550978777643e-08, 5.57849865e-08, 0.0, 0.7418699186991871, 0.10601858648898416, 0.6041573146808511, 0.3650060608872793, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.22484931506849312, 0.03384703196575342, 0.40131568680385143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.903377805446134e-05, 7.908187147448883e-05, 0.0005361266908611019, 0.00021898666122737625, 0.0, 0.0, 3.2200242575160733e-05, 0.4545454545454546, 0.000824561403508772, 0.0006067199724637918, 0.0011045877192982457, 0.0005445350877192983, 0.4851963751462342, 0.003841615355194159, 0.4868637166415821, 0.48352903365088634];[0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.83, 0.0];[0.38, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.6, 0.0]
6;7;7;0;0.9999999999999997;0.36269330669330674;0.2646103956783666;5;0.06578947368421052;[1.5000000250000003e-07, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035087713934631594, 1.550864625121926e-07, 0.0, 1.50060735832322e-07, 1.5842165472602355e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 4.123949423884266e-05, 0.017543854547550766, 0.0263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.41021728515625, 1.52587890625e-05, 0.0, 0.9090909090909092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.5000000250000003e-07, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00870136731242257, 0.0, 0.0, 0.035087713934631594, 1.550864625121926e-07, 0.0, 1.50060735832322e-07, 1.5842165472602355e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07998816777887144, 0.14653938620792153, 0.0, 0.0, 2.6833391472348192e-05, 4.123949423884266e-05, 0.017543854547550766, 0.0263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.23475540809999654, 0.10624227377600902, 0.0, 0.9090909090909092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.024414831328573715, 0.0, 0.975585168671426, 0.0, 0.0];[0.6373066933066933, 0.0, 0.0, 0.0, 0.0, 0.004551581642191002, 0.0, 0.185448418357809, 0.0926933066933067, 0.08]
7;1;1;1;1.0;0.72;0.1425915598866203;6;0.07894736842105263;[9.095000151583336e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.07442922376712328, 0.14158398158030766, 0.059574468085106386, 0.0, 0.0220976624232079, 0.040445940156158475, 0.00010167256963414634, 0.00021376753766704144, 1.5164843468823709e-05, 4.792748414456832e-05, 8.426743987739505e-05, 1.5842165472602355e-07, 4.0250000000000004e-06, 2.013622611386036e-06, 3.19376821944997e-06, 3.6097943374281686e-06, 4.168990913842725e-07, 8.750833333333334e-05, 2.9300243168859385e-05, 6.897602181927711e-05, 8.461941478588877e-05, 4.6038854616914457e-07, 0.0, 0.0, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 9.161184857087104e-05, 0.00018323408155000002, 0.0, 0.16565040650406507, 0.039821156773211575, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.1250152587890625, 0.00335693359375, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[9.095000151583336e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.14567189522021207, 0.14158398158030766, 0.059574468085106386, 0.0, 0.05280984440479659, 0.040445940156158475, 0.00010167256963414634, 0.00021376753766704144, 1.5164843468823709e-05, 4.792748414456832e-05, 8.426743987739505e-05, 1.5842165472602355e-07, 4.0250000000000004e-06, 2.013622611386036e-06, 3.19376821944997e-06, 3.6097943374281686e-06, 4.168990913842725e-07, 8.750833333333334e-05, 2.9300243168859385e-05, 6.897602181927711e-05, 8.461941478588877e-05, 4.6038854616914457e-07, 0.0, 0.009085247376104486, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 9.161184857087104e-05, 0.00018323408155000002, 0.0, 0.16565040650406507, 0.06886694172671486, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.24067047158318447, 0.0, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.28, 0.61, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.1, 0.0]
8;1;1;1;1.0;0.5800000000000001;0.14190351196718848;7;0.09210526315789473;[9.652500160875003e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.07442922376712328, 0.14158398158030766, 0.059574468085106386, 0.0, 0.0220976624232079, 0.040445940156158475, 9.580076809756098e-05, 0.00020142169846508186, 1.6094528445711315e-05, 5.077160076689941e-05, 8.929447452777783e-05, 1.834356002090799e-07, 4.233333333333333e-06, 2.117847384232104e-06, 3.3855610894070997e-06, 3.8098753168699147e-06, 4.252370732119579e-07, 9.290833333333333e-05, 3.110831455017821e-05, 7.302231262650603e-05, 8.966694739207048e-05, 3.9342293945363263e-07, 0.0, 0.0, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 8.632077464339624e-05, 0.0001726519337, 0.0, 0.16565040650406507, 0.039821156773211575, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.1250152587890625, 0.00335693359375, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[9.652500160875003e-05, 1.0733414191720246e-05, 0.0001649620587264929, 4.347502546489605e-05, 3.706896551724138e-06, 0.16565040650406507, 0.0, 0.08835254622945635, 0.14158398158030766, 0.059574468085106386, 0.0, 0.08360941684346401, 0.040445940156158475, 9.580076809756098e-05, 0.00020142169846508186, 1.6094528445711315e-05, 5.077160076689941e-05, 8.929447452777783e-05, 1.834356002090799e-07, 4.233333333333333e-06, 2.117847384232104e-06, 3.3855610894070997e-06, 3.8098753168699147e-06, 4.252370732119579e-07, 9.290833333333333e-05, 3.110831455017821e-05, 7.302231262650603e-05, 8.966694739207048e-05, 3.9342293945363263e-07, 0.005882124628890129, 0.016413446555568402, 0.0, 0.0, 4.8300104650226746e-05, 0.00018970167349867623, 8.632077464339624e-05, 0.0001726519337, 0.0, 0.16565040650406507, 0.054482920553282105, 0.12277303914893617, 0.015073219137618832, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.004608294930875576, 0.04452054794520548, 0.07442922376712328, 0.0220976624232079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0733414191720246e-05, 4.347502546489605e-05, 0.0001649620587264929, 3.710175899439393e-06, 0.0, 0.0, 5.366707095860122e-06, 0.4545454545454546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.42, 0.43, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.14, 0.0]
9;7;7;7;0.9999999999999998;0.6499999999999999;0.11758700034248065;7;0.09210526315789473;[5.833333430555557e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333332823789998, 6.336866210175611e-08, 0.0, 5.8356952823680774e-08, 6.67038546214836e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6833391472348192e-05, 4.123949423884266e-05, 0.041666661690356446, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.41021728515625, 1.52587890625e-05, 0.0, 0.9090909090909092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[5.833333430555557e-08, 0.0, 4.1240514681623226e-05, 0.0, 0.0, 0.0, 0.0, 0.05132413971475272, 0.0, 0.0, 0.0, 0.026572099941742797, 0.0, 0.0, 0.08333332823789998, 6.336866210175611e-08, 0.0, 5.8356952823680774e-08, 6.67038546214836e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012832274241491845, 0.053817655191995155, 0.0, 0.0, 2.6833391472348192e-05, 4.123949423884266e-05, 0.041666661690356446, 0.0625, 0.0, 0.0, 0.060908016441859815, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1240514681623226e-05, 0.0, 0.44554596750002784, 0.04968969186248927, 0.0, 0.9090909090909092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 0.0, 0.0, 0.0, 0.0, 0.02482806385393321, 0.0, 0.9751719361460666, 0.0, 0.0];[0.35, 0.01, 0.0, 0.0, 0.0, 0.010891848490467473, 0.03, 0.4191081515095324, 0.12000000000000002, 0.06]
